representation,C,repeat,fold,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
transformer_plus_pathway,0.1,5,3,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.9085317460317461,4,2,1,7
transformer_plus_pathway,0.1,5,4,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.6228375790875791,4,2,4,4
transformer_plus_pathway,0.1,5,5,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.86875,4,2,3,5
transformer_plus_pathway,0.1,6,1,0.5714285714285714,0.75,0.375,0.4166666666666667,0.746861471861472,5,1,5,3
transformer_plus_pathway,0.1,6,2,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8726076007326008,5,1,3,5
transformer_plus_pathway,0.1,6,3,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.7354978354978354,4,2,4,4
transformer_plus_pathway,0.1,6,4,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.975,4,2,1,7
transformer_plus_pathway,0.1,6,5,0.6428571428571429,0.8,0.5,0.5405405405405406,0.8271645021645022,5,1,4,4
transformer_plus_pathway,0.1,7,1,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7857142857142857,3,3,1,7
transformer_plus_pathway,0.1,7,2,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.9159722222222222,4,2,1,7
transformer_plus_pathway,0.1,7,3,0.6428571428571429,1.0,0.375,0.42857142857142855,0.8564685314685314,6,0,5,3
transformer_plus_pathway,0.1,7,4,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.7423430735930736,3,3,2,6
transformer_plus_pathway,0.1,7,5,0.5,0.5714285714285714,0.5,0.5128205128205128,0.7529647435897435,3,3,4,4
transformer_plus_pathway,0.1,8,1,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.7453754578754579,3,3,2,6
transformer_plus_pathway,0.1,8,2,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8720619658119658,4,2,3,5
transformer_plus_pathway,0.1,8,3,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8821428571428571,5,1,3,5
transformer_plus_pathway,0.1,8,4,0.5714285714285714,0.6,0.75,0.7142857142857143,0.8112980769230769,2,4,2,6
transformer_plus_pathway,0.1,8,5,0.5714285714285714,0.625,0.625,0.625,0.8253787878787879,3,3,3,5
transformer_plus_pathway,0.1,9,1,0.8571428571428571,0.875,0.875,0.875,0.8865936147186148,5,1,1,7
transformer_plus_pathway,0.1,9,2,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.8238906926406927,3,3,2,6
transformer_plus_pathway,0.1,9,3,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8197781385281386,3,3,1,7
transformer_plus_pathway,0.1,9,4,0.7857142857142857,1.0,0.625,0.6756756756756757,0.9526289682539683,6,0,3,5
transformer_plus_pathway,0.1,9,5,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7810897435897436,4,2,3,5
transformer_plus_pathway,0.1,10,1,0.7142857142857143,0.75,0.75,0.75,0.8356150793650794,4,2,2,6
transformer_plus_pathway,0.1,10,2,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8763257575757576,4,2,3,5
transformer_plus_pathway,0.1,10,3,0.7142857142857143,0.6666666666666666,1.0,0.9090909090909091,0.8061011904761906,2,4,0,8
transformer_plus_pathway,0.1,10,4,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.9144230769230769,3,3,2,6
transformer_plus_pathway,0.1,10,5,0.6428571428571429,0.8,0.5,0.5405405405405406,0.8474587912087912,5,1,4,4
