representation,repeat,fold,n,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
transformer_plus_precursor,3,2,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7176948051948052,4,2,3,5
transformer_plus_precursor,3,3,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8951388888888889,5,1,3,5
transformer_plus_precursor,3,4,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7820436507936509,3,3,1,7
transformer_plus_precursor,3,5,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.9381313131313131,3,3,1,7
transformer_plus_precursor,4,1,14,0.5714285714285714,0.625,0.625,0.625,0.6285037878787879,3,3,3,5
transformer_plus_precursor,4,2,14,0.5714285714285714,0.625,0.625,0.625,0.7696314102564102,3,3,3,5
transformer_plus_precursor,4,3,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.8018127705627706,2,4,3,5
transformer_plus_precursor,4,4,14,0.7142857142857143,0.75,0.75,0.75,0.9159722222222222,4,2,2,6
transformer_plus_precursor,4,5,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8222222222222222,5,1,3,5
transformer_plus_precursor,5,1,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7807921245421245,3,3,1,7
transformer_plus_precursor,5,2,14,0.7142857142857143,0.75,0.75,0.75,0.8611492673992674,4,2,2,6
transformer_plus_precursor,5,3,14,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.8240079365079366,4,2,1,7
transformer_plus_precursor,5,4,14,0.5,0.6,0.375,0.40540540540540543,0.7061709124209125,4,2,5,3
transformer_plus_precursor,5,5,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8461670274170274,4,2,3,5
transformer_plus_precursor,6,1,14,0.5,0.6666666666666666,0.25,0.2857142857142857,0.7133793290043291,5,1,6,2
transformer_plus_precursor,6,2,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8726076007326008,5,1,3,5
transformer_plus_precursor,6,3,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.7542478354978355,4,2,4,4
transformer_plus_precursor,6,4,14,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.9659090909090909,4,2,1,7
transformer_plus_precursor,6,5,14,0.6428571428571429,0.8,0.5,0.5405405405405406,0.8021645021645022,5,1,4,4
transformer_plus_precursor,7,1,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7696314102564102,3,3,1,7
